CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.3601338863372803,1.667574167251587,0.9732142857142857,0.9676147327795956,0.9732142857142857,0.9715615742699957,0.9732142857142857,0.9732142857142857,0.9762454071605571,0.9676147327795956
1,1.3376069068908691,1.678443193435669,0.9955357142857143,0.9963503649635037,0.9955357142857143,0.9953113553113553,0.9955357142857143,0.9955357142857143,0.9943181818181819,0.9963503649635037
2,1.5454211235046387,1.68918776512146,0.968609865470852,0.9657952809370226,0.968609865470852,0.9668048910154173,0.968609865470852,0.968609865470852,0.9678601875532822,0.9657952809370226
3,1.503227949142456,1.690709114074707,0.9775784753363229,0.9795875063656425,0.9775784753363229,0.9764891934633633,0.9775784753363229,0.9775784753363229,0.9737967466040583,0.9795875063656425
4,1.4721839427947998,4.117233037948608,0.9774774774774775,0.9730677154582763,0.9774774774774775,0.9761161915008069,0.9774774774774775,0.9774774774774775,0.9795874144058248,0.9730677154582763
5,2.233757257461548,1.6748716831207275,0.9819819819819819,0.983156634746922,0.9819819819819819,0.9810983397190294,0.9819819819819819,0.9819819819819819,0.9792232021709634,0.983156634746922
6,1.5849041938781738,1.8934271335601807,0.9774774774774775,0.9794801641586868,0.9774774774774775,0.976420605416888,0.9774774774774775,0.9774774774774775,0.9737686913913999,0.9794801641586868
7,1.6023330688476562,1.6862950325012207,0.9819819819819819,0.983156634746922,0.9819819819819819,0.9810983397190294,0.9819819819819819,0.9819819819819819,0.9792232021709634,0.983156634746922
8,1.622067928314209,1.780799150466919,0.9684684684684685,0.9699897400820794,0.9684684684684683,0.966988847583643,0.9684684684684685,0.9684684684684685,0.9643913153670693,0.9699897400820794
9,1.3681142330169678,1.6776740550994873,0.9864864864864865,0.9846956224350205,0.9864864864864865,0.9857335646809331,0.9864864864864865,0.9864864864864865,0.9868183769858309,0.9846956224350205
