CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,209.26216673851013,5.175342082977295,0.5871156661786238,0.5871156661786238,0.5871156661786238,0.5792667314702127,0.5871156661786238,0.5871156661786238,0.5901421015972698,0.5871156661786238
1,169.38452816009521,5.319530963897705,0.5791117618350415,0.5791117618350414,0.5791117618350415,0.5714016546877291,0.5791117618350415,0.5791117618350415,0.579535092358999,0.5791117618350414
2,170.7920639514923,5.164510250091553,0.5881405563689605,0.5881405563689605,0.5881405563689605,0.5804304656539884,0.5881405563689605,0.5881405563689605,0.5900181106702643,0.5881405563689605
3,215.96915769577026,8.211335182189941,0.5931185944363104,0.5931185944363104,0.5931185944363104,0.5856930354997857,0.5931185944363104,0.5931185944363104,0.5960694608758405,0.5931185944363104
4,199.17840790748596,5.5474700927734375,0.5854563201561738,0.5854563201561738,0.5854563201561738,0.5777184876653868,0.5854563201561738,0.5854563201561738,0.585788372610068,0.5854563201561738
5,173.8751790523529,5.301069021224976,0.5954019622199443,0.5954019622199443,0.5954019622199443,0.5881058401885729,0.5954019622199443,0.5954019622199443,0.5997725173248593,0.5954019622199443
6,205.7301218509674,5.052479982376099,0.5855908624981696,0.5855908624981696,0.5855908624981696,0.5783063794447721,0.5855908624981696,0.5855908624981696,0.5875672806728262,0.5855908624981696
7,176.3492569923401,5.0666491985321045,0.5864206570020013,0.5864206570020013,0.5864206570020013,0.5793237293672235,0.5864206570020013,0.5864206570020013,0.5885168842946056,0.5864206570020013
8,169.03415322303772,5.392045736312866,0.5741689852101333,0.5741689852101333,0.5741689852101333,0.565219629860897,0.5741689852101333,0.5741689852101333,0.5747912128107048,0.5741689852101333
9,168.09117221832275,5.16442084312439,0.586518279884805,0.586518279884805,0.586518279884805,0.5792693560255783,0.586518279884805,0.586518279884805,0.5887904096424823,0.586518279884805
