fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
3.3124680519104004,1.6739561557769775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.4479260444641113,3.8716070652008057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.661406993865967,2.6102609634399414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.590893030166626,1.9911432266235352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.164123058319092,1.884903907775879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.4947378635406494,2.1935231685638428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.4337399005889893,2.0858781337738037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.2122998237609863,1.6776750087738037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.9446651935577393,1.882227897644043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.8732120990753174,1.677022933959961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
