CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,6.581171035766602,2.8323187828063965,0.9613821138211383,0.9790633608815428,0.9613821138211383,0.952383395643165,0.9613821138211383,0.9613821138211383,0.9310958680385433,0.9790633608815428
1,7.73956036567688,2.5062477588653564,0.9583333333333334,0.9766064189567515,0.9583333333333334,0.9475925744065475,0.9583333333333334,0.9583333333333334,0.9254173732895636,0.9766064189567515
2,7.36170220375061,2.5001189708709717,0.959349593495935,0.9740508295532219,0.959349593495935,0.9493275625923209,0.959349593495935,0.959349593495935,0.9292667326626168,0.9740508295532219
3,7.715744972229004,2.7139391899108887,0.9592668024439919,0.9779614325068872,0.9592668024439919,0.9482932562575325,0.9592668024439919,0.9592668024439919,0.9256356754658386,0.9779614325068872
4,7.703881025314331,2.2963497638702393,0.955193482688391,0.9757575757575757,0.955193482688391,0.9453166912655488,0.955193482688391,0.955193482688391,0.9217677276873589,0.9757575757575757
5,6.292239189147949,2.6315479278564453,0.9663608562691132,0.9817880794701986,0.9663608562691132,0.9568484960464664,0.9663608562691132,0.9663608562691132,0.9369069250959016,0.9817880794701986
6,6.732320785522461,2.294830083847046,0.963302752293578,0.9781590741855641,0.963302752293578,0.9530192756640797,0.963302752293578,0.963302752293578,0.9329245058347225,0.9781590741855641
7,6.754309892654419,1.97346830368042,0.9622833843017329,0.9795805739514348,0.9622833843017329,0.9552773980806842,0.9622833843017329,0.9622833843017329,0.9352437069305601,0.9795805739514348
8,6.271373987197876,2.078869104385376,0.9551478083588175,0.9757174392935982,0.9551478083588175,0.9465500977023112,0.9551478083588175,0.9551478083588175,0.9235607160135463,0.9757174392935982
9,7.035808086395264,2.490499973297119,0.9520897043832823,0.9740618101545254,0.9520897043832823,0.9433479056268856,0.9520897043832823,0.9520897043832823,0.9194557758216243,0.9740618101545254
