CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,1.0316438674926758,1.7307040691375732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0711240768432617,1.6976308822631836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0813980102539062,1.7264797687530518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0830059051513672,1.5930030345916748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0929279327392578,1.6971659660339355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0731830596923828,1.700911045074463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.074087142944336,1.6184508800506592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0596699714660645,1.724052906036377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0658929347991943,1.7112491130828857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0630171298980713,1.5997459888458252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
