CV Fold,fit_time,score_time,test_accuracy,test_balanced_accuracy,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,test_precision_macro,test_recall_macro
0,2.2284398078918457,1.7208890914916992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.212855100631714,1.7120120525360107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.1014370918273926,1.724426031112671,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2.0776939392089844,1.7206318378448486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2.1524720191955566,1.7308101654052734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2.1030631065368652,1.7362327575683594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2.109518051147461,1.7165660858154297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2.1015069484710693,1.745980978012085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2.0955560207366943,1.737781047821045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2.091430187225342,1.7330329418182373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
