CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.6786489486694336,0.8055269718170166,0.8318129558916003,-7.255132655215505,-0.8427663568222445,-2.8481124075190394,-0.0005979794401290961,-0.0853113463723787
1,1.5127270221710205,0.8399968147277832,0.8281997973010391,-7.243928899618979,-0.9451541432786604,-3.0456638021342344,-0.0006306972590686883,-0.38204682483114993
2,1.4579191207885742,0.6429970264434814,0.8257099320282151,-7.578642719264209,-0.9639057333429717,-3.1827952551457184,-0.0006571993441198196,-0.3586885308640575
3,1.5326120853424072,0.636476993560791,0.8074501114731076,-7.320151090935681,-1.0031866977281176,-3.7407561769050375,-0.0007903897546451222,-0.3717560850211612
4,1.4712331295013428,0.6402597427368164,0.8444564227548432,-7.231760815345794,-0.8645096373306709,-2.9007742939397083,-0.00060971086349277,-0.39686550503718365
5,1.457313060760498,0.640538215637207,0.8844851446538875,-7.235084722752063,-0.636367628157554,-1.892575191566673,-0.0003905627774922998,-0.010701364104491518
6,1.4540910720825195,0.6459510326385498,0.8697730417218982,-7.16608998868098,-0.7682266234996125,-2.2587740722219802,-0.0004702359630581836,-0.3625283969436026
7,1.4863779544830322,1.1535978317260742,0.8378584870878527,-7.689716689330012,-0.8672937428333912,-3.008133623722693,-0.0006273360612695872,-0.39113730330036844
8,1.65885329246521,0.9426980018615723,0.8485471517541591,-7.270118414256302,-0.852949641814578,-2.6992688906893862,-0.0005611766239700261,-0.34445677496495364
9,1.5273380279541016,0.6471869945526123,0.8250167378907987,-7.208985912009126,-0.9471496616432693,-3.4909372919573585,-0.0007417964448215208,-0.3401604959196902
