CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,444.7814679145813,9.685674905776978,0.9811195085679658,-13.558134450447348,-1.2202408239328748,-4.10817439092601,-0.0016851653596270926,-0.6001931911110603
1,382.40577006340027,7.244189977645874,0.9815458046109363,-11.70374930573088,-1.2102590197901515,-4.070830349299237,-0.0017052603100569305,-0.5849147019057597
2,394.1486279964447,7.421879053115845,0.9815299552176067,-13.734487509732126,-1.1944911036880739,-3.990778426910689,-0.0016579953226724918,-0.5913174946925608
3,391.1060869693756,7.697332143783569,0.9807449715468898,-13.56155269716485,-1.237586019421587,-4.209452530745394,-0.0017629316021178906,-0.6157013586457794
4,392.397029876709,10.703613042831421,0.9812962004879271,-13.393061833401603,-1.2214498890707284,-4.1294985207069494,-0.0017354765629660858,-0.5919733428085792
5,415.35565304756165,9.286581039428711,0.9815712415463939,-11.88706698603395,-1.2249963176971108,-4.072303495325608,-0.0017251929967159057,-0.5964956228226548
6,461.3652431964874,8.419886827468872,0.9811333545938378,-14.038789900773594,-1.2474135046493409,-4.20477407749326,-0.0017299320713927233,-0.6067142653021627
7,465.39630794525146,7.81233286857605,0.9823555931471288,-12.387802339408509,-1.1864838640003996,-3.9157940129262405,-0.001675424695045642,-0.5783844780715981
8,524.7696850299835,9.07255506515503,0.9816090120528276,-12.329889360745199,-1.2084306834216945,-4.018838885581686,-0.001682368582294324,-0.6031932337918207
9,579.0688042640686,10.649545907974243,0.9802988349544678,-12.615712098113775,-1.239940475975405,-4.263789369009467,-0.0018137784954988033,-0.5956518962268085
