CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,14.281581163406372,1.257948875427246,0.9872004363120537,-0.8895587340970579,-0.022603142255834534,-0.004862688197850499,-2.3321569996640627e-06,-0.010319634891644114
1,13.65693998336792,1.308487892150879,0.9853392503567016,-0.8950487196192327,-0.022823020573010888,-0.00550790420484521,-2.6312420372478374e-06,-0.010497417676738507
2,13.255854845046997,1.2468509674072266,0.990636285200992,-0.8920459899297768,-0.020262742923085192,-0.003404601957966244,-1.6353871100618771e-06,-0.01044999103590527
3,12.70456600189209,1.2451977729797363,0.9949817114772003,-0.2785691241910442,-0.017878406065527874,-0.0017911799659780048,-8.721030090315624e-07,-0.010507630542520019
4,13.191892147064209,1.2501168251037598,0.9844103053210194,-0.9019106987079013,-0.023769106202890262,-0.0056159333522123045,-2.6881256211756867e-06,-0.010212272381991738
5,12.835450887680054,1.260045051574707,0.979748938054088,-0.9174909021438395,-0.026085221159546982,-0.007543797253476541,-3.602800132276831e-06,-0.0101566733187326
6,12.774413108825684,1.2469749450683594,0.989684788549744,-0.8897663106243101,-0.021702941863045132,-0.003959788432256255,-1.901639311139465e-06,-0.01003258509800986
7,19.364949941635132,1.481252908706665,0.9893424418097451,-0.8633918190187373,-0.02343234116566779,-0.004150460154649305,-1.997982418778372e-06,-0.010269825338447447
8,12.332121133804321,1.260530948638916,0.9926033788694051,-0.2966666218117453,-0.02349314448156944,-0.0029556129736627054,-1.4412014563910633e-06,-0.009629704934077665
9,13.181200981140137,1.267322063446045,0.9820558173718773,-0.9189359924058493,-0.024618368507477777,-0.006474925014081946,-3.0918406931766397e-06,-0.010212530633268102
