CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,0.7868130207061768,0.7632410526275635,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,0.776486873626709,0.6530649662017822,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,0.746088981628418,0.7597670555114746,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,0.7430992126464844,0.8677897453308105,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,0.7530632019042969,0.669517993927002,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,0.738502025604248,0.6524970531463623,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,0.7394289970397949,0.665308952331543,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,0.7480189800262451,0.6592371463775635,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,0.7389140129089355,0.6539959907531738,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,0.7477476596832275,0.6547489166259766,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
