CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.0404040813446045,0.772468090057373,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1.0437419414520264,0.648252010345459,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1.0429530143737793,0.6674537658691406,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1.0397710800170898,0.6628527641296387,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1.0301063060760498,0.6601948738098145,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1.0297160148620605,0.6543197631835938,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1.0267078876495361,0.6582059860229492,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1.0230348110198975,0.6711330413818359,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.0320281982421875,0.6503019332885742,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.030452013015747,0.655540943145752,1.0,-0.0,-0.0,-0.0,-0.0,-0.0
