,MAE,RMSE
subject_1,7.527053056141297,9.025095433573659
subject_2,30.48704942045961,31.111983341557174
subject_3,15.730379699257812,17.831582035387676
subject_4,10.022135769696009,10.848619057524063
subject_5,10.544014065432831,12.554391209933419
subject_6,9.160912214543071,9.321750049763958
subject_7,14.655436808935926,15.33455335666215
subject_9,9.57370254118101,11.153860693480325
subject_10,15.811759645297176,16.045630696037417
subject_12,17.53374583231019,19.102281652768376
subject_13,9.641003648603986,10.090752917328613
subject_16,29.496234299310157,29.742724720020572
subject_17,22.352634940860128,23.35107438094924
subject_18,12.084196235799235,17.248031264786714
subject_19,16.794305777508445,17.479193428473803
subject_20,11.393292041296576,12.747567033022206
subject_21,10.928169361137952,14.339391224173381
subject_22,4.015279520394574,5.105306199230533
subject_24,17.213768515226725,17.96784264094246
subject_25,7.977769881143393,8.309876202914364
