,MAE,RMSE
subject_1,4.359882713274827,4.590912034116424
subject_2,30.4039488472342,31.53547989893932
subject_3,13.826281867727662,14.73859623871515
subject_4,11.706246413826955,13.632761929130687
subject_5,11.838510981227984,15.675778714035244
subject_6,3.7076781005949213,4.75566305753208
subject_7,13.004626049865859,13.684915347007925
subject_9,7.688054371993999,8.73120158729977
subject_10,17.355374559650304,18.067936586772227
subject_12,18.567834898955066,19.112438676986226
subject_13,13.360562109997174,13.76202658612566
subject_16,35.54896658030502,35.673409672824434
subject_17,22.191797610935527,23.66700500580417
subject_18,15.302813036273756,19.482540195235643
subject_19,22.43774120272485,22.58653205937183
subject_20,14.884966718558266,16.967543309580268
subject_21,11.7088478673913,15.835237155457575
subject_22,3.7627329417983866,4.392905268035004
subject_24,16.110261996748406,16.91375379102752
subject_25,5.814808019992751,7.012250183350378
