,MAE,RMSE
subject_1,4.236612224728476,4.46005554337288
subject_2,27.224707163299843,27.716300091133355
subject_3,15.259714035433905,16.992452949950927
subject_4,9.741420113838643,11.647682917227595
subject_5,12.564126256897143,15.233296147294107
subject_6,8.211232768383152,8.338779276474401
subject_7,12.938105982280922,13.3874854130404
subject_9,5.818410038336654,6.728716030635079
subject_10,17.93135152222043,19.085540114400406
subject_12,17.07569332104032,18.56513421309048
subject_13,11.638906027282395,11.760767669068224
subject_16,35.866283979022654,36.201755421314665
subject_17,21.962569513450628,23.193380865995035
subject_18,10.998908988253124,17.36151746677434
subject_19,20.91413697298369,21.560735513293295
subject_20,9.461887506780176,10.499543182402672
subject_21,13.67513955388252,16.584116032528517
subject_22,4.8391376058725815,5.318738641061209
subject_24,14.110652147119882,15.4650108853126
subject_25,5.947926770052267,7.077750755281768
