,MAE,RMSE
subject_2,1.02073896389486,1.0254823298515785
subject_3,1.345992307233377,1.3971753599130738
subject_4,0.502739516638342,0.5814111668242766
subject_6,0.9291049961166894,0.930217723561362
subject_7,0.5873380575516859,0.6452119108783723
subject_8,0.7886388519142299,0.8512731144315598
subject_9,0.5844506430596322,0.6663164443217571
subject_10,0.8969200811940069,1.0322314058860775
subject_11,0.625344905626176,0.6503243263510012
subject_13,0.30136876124803097,0.35623991763271795
subject_14,1.3214439722522522,1.4485083685155724
subject_15,0.3803302461675959,0.4935847705743174
subject_16,1.0667662242563816,1.1540394880617877
subject_17,0.5325876592168679,0.5758450585708111
